# pattern	count	en_example	cn_example
This Sinner could serve as an excellent advisor depending on your capability. However, she also has a meddlesome tendency, so it is recommended to keep her satisfied with short replies of agreement. She is an expert when it comes to tactics and various pearls of wisdom about life, making her advice all the more valuable for your mission. In addition, she possesses a vast knowledge of workshop technologies; you could trust her with simple repairs of the bus. NOTICE: Unlike the other Sinners, accessing records pertaining to the past of this Sinner is not permitted. WARNING: Keep an eye on this Sinner and beware that she does not exercise her cunning intellect for purposes other than completing our company's mission	8	This Sinner could serve as an excellent advisor depending on your capability. However, she also has a meddlesome tendency, so it is recommended to kee	该罪人或许能够成为优秀的顾问，但这取决于经理的能力。然而，考虑到其多管闲事的性格，建议您适当地简短附和。由于她在包括战术在内的多个领域均是专家，因此寻求她的建议非常有效。此外，该罪人还对工坊技术有深入了解，因此您也可以放心地委任她对巴士进行简单的维护工作。[注意] - 与其他罪人不同，禁止阅览该罪人
Obtained from the 'Yield My Flesh to Claim Their Bones' event	8	Obtained from the 'Yield My Flesh to Claim Their Bones' event	通过肉斩骨断活动获取
Obtained from the Timekilling Time event	8	Obtained from the Timekilling Time event	通过时间杀人时间活动获取
Obtained from the Murder on the WARP Express event	8	Obtained from the Murder on the WARP Express event	通过WARP快车谋杀案活动获取
Obtained from the LCB Regular Check-up event	8	Obtained from the LCB Regular Check-up event	通过LCB定期体检活动获取
Obtained from the 2nd Anniversary event	8	Obtained from the 2nd Anniversary event	通过2周年纪念活动获取
Obtained from the 'Nocturnal Sweeping' event	8	Obtained from the 'Nocturnal Sweeping' event	通过深夜清扫活动获取
Obtained from the 'Spring Cultivation' event	8	Obtained from the 'Spring Cultivation' event	通过切磋琢春活动获取
Obtained from the Pilgrimage of Compassion event	8	Obtained from the Pilgrimage of Compassion event	通过善意的巡礼活动获取
Obtained from the 3rd Anniversary event	8	Obtained from the 3rd Anniversary event	通过3周年纪念活动获取
Obtained from the Twining Threads event	8	Obtained from the Twining Threads event	通过绞丝结线活动获取
Obtained from the Mnestic Experience event	8	Obtained from the Mnestic Experience event	通过经验记忆活动获取
Kurokumo Hong Lu	7	Kurokumo Hong Lu	黑云会 鸿璐
R Corp. Ishmael	7	R Corp. Ishmael	R公司 以实玛利
Blade Lineage Outis	7	Blade Lineage Outis	剑契组 奥提斯
Blade Lineage Sinclair	7	Blade Lineage Sinclair	剑契组 辛克莱
Seven Yi Sang	7	Seven Yi Sang	Seven协会 李箱
All allies heal <VAR> SP	7	All allies <color=#80c9ff>heal {0} SP</color>	全体友方单位<color=#80c9ff>恢复{0}点理智值</color>
Select to gain a Rupture E.G.O Gift	7	Select to gain a Rupture E.G.O Gift	选择后，获得1件破裂E.G.O饰品
Tiantui Star <TAG>	7	Tiantui Star [天退星]	天退星
Clash Power Up	7	Clash Power Up	拼点威力提升
Echoes of the Manor	7	Echoes of the Manor	山庄的回响
